mdf,ngram,features,fscore
40.0,3.0,1400.0,0.2824858757062147
50.0,1.0,1400.0,0.21556886227544908
50.0,2.0,1400.0,0.2352941176470588
50.0,3.0,1400.0,0.24561403508771928
60.0,1.0,1400.0,0.20606060606060606
60.0,2.0,1400.0,0.2222222222222222
60.0,3.0,1400.0,0.20359281437125748
70.0,1.0,1400.0,0.20118343195266272
70.0,2.0,1400.0,0.2235294117647059
70.0,3.0,1400.0,0.2235294117647059
80.0,1.0,1400.0,0.19999999999999998
80.0,2.0,1400.0,0.25287356321839083
80.0,3.0,1400.0,0.25287356321839083
90.0,1.0,1400.0,0.22093023255813954
90.0,2.0,1400.0,0.22093023255813954
90.0,3.0,1400.0,0.22093023255813954
100.0,1.0,1400.0,0.22093023255813954
100.0,2.0,1400.0,0.22093023255813954
100.0,3.0,1400.0,0.22093023255813954
1.0,1.0,1500.0,0.3942307692307692
1.0,2.0,1500.0,0.4444444444444445
1.0,3.0,1500.0,0.4236453201970443
5.0,1.0,1500.0,0.4097560975609756
5.0,2.0,1500.0,0.43137254901960786
5.0,3.0,1500.0,0.43137254901960786
10.0,1.0,1500.0,0.4444444444444445
10.0,2.0,1500.0,0.47393364928909953
10.0,3.0,1500.0,0.47619047619047616
20.0,1.0,1500.0,0.34736842105263155
20.0,2.0,1500.0,0.3529411764705882
20.0,3.0,1500.0,0.3645833333333333
30.0,1.0,1500.0,0.2777777777777778
30.0,2.0,1500.0,0.3135135135135135
30.0,3.0,1500.0,0.3135135135135135
40.0,1.0,1500.0,0.2628571428571429
40.0,2.0,1500.0,0.28888888888888886
40.0,3.0,1500.0,0.28888888888888886
50.0,1.0,1500.0,0.20481927710843373
50.0,2.0,1500.0,0.2543352601156069
50.0,3.0,1500.0,0.24561403508771928
60.0,1.0,1500.0,0.22485207100591717
60.0,2.0,1500.0,0.21428571428571427
60.0,3.0,1500.0,0.2235294117647059
70.0,1.0,1500.0,0.20118343195266272
70.0,2.0,1500.0,0.2325581395348837
70.0,3.0,1500.0,0.20238095238095236
80.0,1.0,1500.0,0.19999999999999998
80.0,2.0,1500.0,0.25287356321839083
80.0,3.0,1500.0,0.25287356321839083
90.0,1.0,1500.0,0.22093023255813954
90.0,2.0,1500.0,0.22093023255813954
90.0,3.0,1500.0,0.2235294117647059
100.0,1.0,1500.0,0.22093023255813954
100.0,2.0,1500.0,0.22093023255813954
100.0,3.0,1500.0,0.22093023255813954
1.0,1.0,1600.0,0.4000000000000001
1.0,2.0,1600.0,0.4401913875598087
1.0,3.0,1600.0,0.42156862745098034
5.0,1.0,1600.0,0.4134615384615385
5.0,2.0,1600.0,0.4390243902439025
5.0,3.0,1600.0,0.43137254901960786
